Watchlist 'Internals & Indicators'

Internals & Indicators
Symbol,Description,Mark,Mark %Change,RS50
$VOLQDC,NASDAQ Composite Up Volume - Down Volume Difference,-1998422664.600,-23.90%,-0.18
$ADID,DJIA Advancing Issues - Declining Issues Difference,16.000,-300.00%,1.0
$ADVI,DJIA Advanced issues,23.000,+109.09%,0.21
$DECLI,DJIA Declined issues,7.000,-63.16%,-0.36
$DVOLI,DJIA Declined volume,45128.000,-62.57%,0.24
$TIKI,DJIA TICK,2.000,-88.89%,-1.07
$TRINI,DJIA TRIN,1.820,-34.53%,2.08
$TVOLI,DJIA Total volume,126408.000,-13.20%,-0.12
$UNCHI,DJIA Unchanged issues,0,<empty>,NaN
$UVOLI,DJIA Advanced volume,81281.000,+224.15%,-0.24
$VOLID,DJIA Up Volume - Down Volume Difference,36153204.000,-137.86%,-0.48
$ADIDC,DJIA Composite Advancing Issues - Declining Issues Difference,16.000,-300.00%,1.0
$ADVIC,DJIA Composite Advanced issues,23.000,+109.09%,0.21
$DECLIC,DJIA Composite Declined issues,7.000,-63.16%,-0.36
$DVOLIC,DJIA Composite Declined volume,165011.000,-59.83%,0.25
$TIKIC,DJIA Composite TICK,2.000,-85.71%,-1.08
$TRINIC,DJIA Composite TRIN,1.990,-29.43%,2.2
$TVOLIC,DJIA Composite Total volume,436993.000,-11.73%,-0.12
$UNCHIC,DJIA Composite Unchanged issues,0,<empty>,NaN
$UVOLIC,DJIA Composite Advanced volume,271982.000,+222.76%,-0.26
$VOLIDC,DJIA Composite Up Volume - Down Volume Difference,106971547.820,-132.76%,-0.54
$ADSPD,S&P500 Advancing Issues - Declining Issues Difference,227.000,-394.81%,13.17
$ADVSP,S&P500 Advanced issues,363.000,+72.04%,0.4
$DECLSP,S&P500 Declined issues,136.000,-52.78%,-0.44
$DVOLSP,S&P500 Declined volume,339240.000,-47.94%,-0.22
$TIKSP,S&P500 TICK,-89.000,-228.99%,-0.46
$TRINSP,S&P500 TRIN,1.870,+6.25%,0.91
$TVOLSP,S&P500 Total volume,824283.000,-10.69%,-0.1
$UNCHSP,S&P500 Unchanged issues,0,<empty>,-1.0
$UVOLSP,S&P500 Advanced volume,485043.000,+78.78%,0.02
$VOLSPD,S&P500 Up Volume - Down Volume Difference,145803653.000,-138.34%,2.78
$ADSPDC,S&P500 Composite Advancing Issues - Declining Issues Difference,227.000,-394.81%,13.17
$ADVSPC,S&P500 Composite Advanced issues,363.000,+72.04%,0.4
$DECLSPC,S&P500 Composite Declined issues,136.000,-52.78%,-0.44
$DVOLSPC,S&P500 Composite Declined volume,1232118.000,-46.97%,-0.21
$TIKSPC,S&P500 Composite TICK,-99.000,-243.48%,-0.39
$TRINSPC,S&P500 Composite TRIN,1.930,+7.82%,0.89
$TVOLSPC,S&P500 Composite Total volume,2933882.000,-10.46%,-0.08
$UNCHSPC,S&P500 Composite Unchanged issues,0,<empty>,-1.0
$UVOLSPC,S&P500 Composite Advanced volume,1701764.000,+78.54%,0.04
$VOLSPDC,S&P500 Composite Up Volume - Down Volume Difference,469646021.900,-134.27%,5.62
$ADNDD,NASDAQ 100 Advancing Issues - Declining Issues Difference,11.000,-137.93%,-1.73
$ADVND,NASDAQ 100 Advanced issues,57.000,+54.05%,0.32
$DECLND,NASDAQ 100 Declined issues,46.000,-30.30%,-0.21
$DVOLND,NASDAQ 100 Declined volume,241729.000,-22.07%,0.01
$TIKND,NASDAQ 100 TICK,-25.000,+31.58%,0.47
$TRINND,NASDAQ 100 TRIN,1.940,+30.20%,0.71
$TVOLND,NASDAQ 100 Total volume,396144.000,-7.27%,0.0
$UNCHND,NASDAQ 100 Unchanged issues,0,<empty>,NaN
$UVOLND,NASDAQ 100 Advanced volume,154415.000,+31.97%,-0.01
$VOLNDD,NASDAQ 100 Up Volume - Down Volume Difference,-87314137.000,-54.80%,0.06
$ADNDDC,NASDAQ 100 Composite Advancing Issues - Declining Issues Difference,11.000,-137.93%,-1.73
$ADVNDC,NASDAQ 100 Composite Advanced issues,57.000,+54.05%,0.32
$DECLNDC,NASDAQ 100 Composite Declined issues,46.000,-30.30%,-0.21
$DVOLNDC,NASDAQ 100 Composite Declined volume,848167.000,-15.72%,0.01
$TIKNDC,NASDAQ 100 Composite TICK,-25.000,+66.67%,2.57
$TRINNDC,NASDAQ 100 Composite TRIN,2.390,+61.49%,0.88
$TVOLNDC,NASDAQ 100 Composite Total volume,1287638.000,-7.12%,-0.03
$UNCHNDC,NASDAQ 100 Composite Unchanged issues,0,<empty>,NaN
$UVOLNDC,NASDAQ 100 Composite Advanced volume,439471.000,+15.67%,-0.1
$VOLNDDC,NASDAQ 100 Composite Up Volume - Down Volume Difference,-408695637.610,-34.76%,0.17
$ADRLD,RUSSELL 2000 Advancing Issues - Declining Issues Difference,176.000,-130.40%,-1.33
$ADVRL,RUSSELL 2000 Advanced issues,914.000,+69.26%,0.58
$DECLRL,RUSSELL 2000 Declined issues,738.000,-34.05%,-0.33
$DVOLRL,RUSSELL 2000 Declined volume,381237.000,-11.68%,-0.29
$TIKRL,RUSSELL 2000 TICK,-133.000,-17.90%,-0.16
$TRINRL,RUSSELL 2000 TRIN,2.060,+139.53%,1.31
